O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3738523.887,2662601.836,2621040.777,2559201.849,2583711.471,2450602.005,2499072.221,1363833.972
3741429.027,2700414.53,2615391.951,2563979.875,2597601.949,2448679.227,2472567.861,1392509.328
3732042.02,2660278.641,2584031.677,2587200.523,2633624.563,2451273.214,2449148.343,1363953.659
3736950.393,2675552.661,2611298.486,2559732.861,2595840.861,2446997.945,2495552.741,1359358.423
3736858.767,2667962.608,2575899.798,2559695.716,2595765.173,2488575.876,2458814.551,1401885.974
3730221.79,2659963.51,2620730.201,2560764.581,2631227.716,2455892.957,2448757.99,1368554.394
3784010.301,2668213.794,2579720.728,2601845.773,2595853.077,2456382.259,2498873.692,1376707.932
3736782.244,2712147.368,2619351.822,2591804.901,2662707.907,2503087.264,2450552.072,1384174.496
3831792.859,2661783.923,2579973.349,2560133.052,2594174.571,2447956.111,2495298.564,1365914.142
3732635.44,2703422.415,2608507.279,2587207.384,2590639.168,2448521.049,2452066.39,1388172.817
3787321.454,2668573.607,2583305.445,2557189.683,2593195.174,2455682.747,2507565.481,1363165.267
3739930.623,2696221.194,2603890.852,2548738.063,2593251.181,2458453.57,2449073.507,1382989.602
3738813.01,2700440.73,2580079.718,2557591.001,2592318.278,2458735.704,2455128.414,1370213.523
3822859.754,2726335.482,2579522.331,2588522.353,2596658.258,2448686.004,2497945.282,1368515.809
3795307.002,2688591.159,2576410.268,2560788.977,2587762.105,2475632.314,2450336.053,1386486.972
3728548.124,2684522.703,2586358.467,2554797.507,2620457.659,2445073.77,2484659.502,1369037.684
3738526.952,2662192.848,2606996.59,2581439.075,2589675.145,2451478.634,2455712.07,1373664.881
3781605.119,2668840.621,2582226.85,2564362.366,2613351.973,2450045.959,2448458.239,1362627.217
3786586.068,2697027.657,2626240.442,2552683.033,2601309.544,2449981.024,2460648.523,1384787.322
3745617.085,2658717.327,2579280.96,2561774.518,2600390.225,2446155.15,2487198.831,1368827.467
3784186.753,2672334.272,2588494.628,2556875.793,2597591.048,2451098.877,2456423.535,1362629.324
3802174.033,2667587.337,2584899.496,2563580.068,2593539.918,2451999.429,2457914.856,1387693.639
3795330.225,2673692.66,2606627.564,2579691.836,2594831.52,2448095.885,2455767.219,1376553.943
3732515.218,2706767.587,2586478.589,2609330.627,2595017.617,2455982.818,2505894.87,1367403.887
3731661.335,2711514.166,2613069.934,2592843.291,2599036.495,2465157.529,2455970.293,1360250.562
3731286.701,2656741.139,2578761.072,2560633.292,2591661.899,2456797.896,2483630.017,1365996.714
3733778.744,2683297.559,2583383.926,2558609.086,2593752.84,2451083.986,2471066.433,1366645.945
3735913.811,2711685.244,2582865.687,2601207.056,2626014.69,2457278.194,2493578.073,1383562.742
3735780.223,2664610.101,2586423.482,2587444.904,2619442.2,2450280.719,2455799.49,1380676.499
3790432.958,2678790.532,2574646.762,2556767.59,2594936.791,2532515.924,2449063.131,1365450.157
3732526.57,2666587.101,2609286.66,2560853.563,2595847.647,2454919.605,2459460.605,1362869.898
3740683.09,2669970.295,2589735.279,2555633.322,2587894.306,2475010.894,2450031.251,1373268.414
3736364.851,2666746.791,2574988.853,2566277.778,2590714.611,2454663.648,2450462.637,1373471.98
3810522.404,2663348.037,2576550.356,2564893.579,2594193.807,2450931.252,2494814.206,1382903.832
3777120.641,2707613.85,2609340.111,2556587.79,2625949.538,2454364.351,2451890.422,1358277.689
3787708.693,2670545.689,2595394.45,2602996.135,2624345.011,2488085.997,2491430.592,1362608.99
3794415.315,2708992.1,2607077.485,2557899.107,2619793.881,2453383.796,2453202.286,1364899.731
