O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3731432.191,2666983.006,2575643.655,2593028.613,2579611.942,2451161.649,2411891.06,1342158.895
3771053.287,2653946.86,2575352.681,2555078.934,2579649.529,2454324.542,2435265.684,1337309.299
3749922.611,2661758.281,2588220.35,2559562.496,2580153.307,2451140.725,2409992.877,1333340.397
3728135.895,2660506.201,2578602.117,2578395.595,2613692.462,2475207.643,2441053.548,1340648.36
3730094.329,2662153.834,2608317.97,2560152.826,2575844.48,2456156.89,2406258.028,1336802.535
3731327.631,2666164.054,2593963.472,2555662.672,2587564.722,2477800.793,2407931.918,1343294.131
3730954.928,2692047.859,2607121.842,2557099.97,2616683.512,2451334.917,2407827.072,1332335.392
3728983.469,2659009.901,2618130.876,2562383.303,2588679.559,2460669.217,2455563.489,1334696.179
3765818.624,2699079.69,2610294.67,2555226.332,2586509.922,2457017.542,2408126.384,1338611.456
3789881.543,2659179.116,2612508.21,2556106.577,2580799.933,2452331.468,2405750.396,1338049.239
3730625.412,2664644.756,2618643.696,2557577.814,2607692.972,2454513.491,2436317.672,1335181.374
3781219.988,2659061.99,2633190.03,2589086.641,2590473.1,2452713.251,2398780.049,1341064.85
3762839.203,2674111.418,2664659.256,2560724.72,2624984.482,2452253.807,2440796.808,1335963.59
3732225.613,2667516.602,2580982.41,2551798.865,2586254.991,2454549.042,2410676.819,1335351.169
3777399.019,2655567.742,2573966.186,2579403.844,2589802.507,2456996.364,2429469.367,1336122.652
3768025.009,2658256.263,2582533.289,2552272.899,2579141.678,2450368.423,2403920.623,1334735.175
3731656.967,2659138.01,2583045.741,2558177.967,2582819.862,2460753.362,2410509.492,1339829.313
3776678.106,2656459.156,2578925.326,2554869.483,2588947.722,2450120.443,2450103.192,1341159.647
3740700.613,2664321.686,2580307.249,2564270.063,2585232.705,2454505.391,2499198.787,1342223.972
3769171.49,2657441.573,2581788.281,2563540.914,2614598.508,2455800.47,2442535.169,1349664.704
3729855.666,2659169.004,2583670.275,2562152.207,2583949.157,2482342.16,2443191.053,1354987.497
3731974.62,2692894.861,2609190.936,2639459.426,2578036.237,2447296.742,2401552.034,1339984.094
3729331.58,2663583.064,2583853.737,2580899.348,2587724.987,2489052.638,2406869.578,1348581.773
3725068.564,2663176.474,2604039.025,2574590.321,2591526.23,2445620.984,2434972.73,1334456.31
3726389.649,2671382.708,2575350.826,2606980.529,2582748.567,2457569.883,2401695.721,1343402.551
3729711.632,2659704.093,2617190.806,2584600.238,2588137.989,2456280.481,2404664.791,1336430.422
3735829.197,2637617.371,2583843.374,2623491.067,2596503.065,2458044.64,2416029.454,1350989.116
3758089.575,2657399.58,2605229.744,2575601.017,2627803.945,2465751.059,2407504.362,1337779.025
3732326.998,2683949.301,2579158.575,2602719.09,2587464.544,2475609.265,2425486.314,1338459.812
3775917.224,2666135.07,2613722.65,2573125.485,2608898.989,2455295.577,2416774.968,1336811.077
3733342.744,2665797.6,2579932.435,2569445.831,2588843.178,2477949.823,2426827.124,1342435.494
3769608.238,2694763.756,2581144.676,2571219.893,2611906.552,2463417.313,2406284.168,1352221.63
3734452.986,2661158.149,2613012.539,2567618.179,2581968.379,2478895.804,2409021.463,1338521.198
3734981.668,2662507.915,2579721.235,2601510.421,2583373.166,2453911.634,2409872.407,1342588.932
3768059.951,2662150.836,2576121.987,2566493.828,2579533.37,2476399.457,2404636.261,1340841.386
3774952.411,2665855.972,2613445.0,2563999.975,2622170.485,2454551.41,2443261.743,1343863.917
3764271.059,2662594.444,2577716.792,2589392.525,2588365.199,2458303.911,2436589.469,1345549.928
3739107.315,2682290.476,2601886.91,2567892.36,2588204.669,2454447.534,2408095.497,1354974.6
3732934.332,2673378.297,2578127.18,2586773.517,2614425.623,2485740.077,2443845.89,1348348.24
3768708.032,2696381.063,2614113.49,2566450.632,2582512.066,2450907.589,2415849.818,1343041.258
3773242.669,2697383.968,2578092.197,2583390.486,2583824.798,2470170.031,2411496.621,1338057.93
3741768.603,2674040.517,2577642.72,2561304.108,2588126.912,2455359.029,2410032.815,1351784.292
3788836.42,2659180.345,2583255.029,2568455.904,2618317.355,2473974.125,2410070.536,1336553.448
3724130.965,2672770.682,2581949.502,2590967.851,2585498.096,2487477.35,2413056.183,1351006.758
3770145.069,2675966.449,2583416.797,2601029.28,2605512.327,2457902.968,2407227.333,1343434.084
3730942.546,2666160.878,2586145.585,2593840.449,2590759.016,2475417.126,2409073.249,1346828.626
3730108.662,2673064.118,2608663.13,2578163.019,2617070.394,2455759.542,2402826.953,1355870.455
3735221.092,2661081.354,2587248.11,2582059.966,2588862.625,2453318.09,2421901.548,1339903.698
3723758.725,2680624.999,2629736.76,2568366.347,2584625.727,2458595.372,2436272.894,1342321.736
3782344.554,2660282.263,2592924.487,2564912.732,2579569.793,2468450.55,2405936.099,1337086.113
3735946.191,2694516.427,2587310.056,2570117.728,2616608.956,2487882.204,2406592.789,1337524.532
3706655.664,2663189.241,2578761.007,2568207.355,2582207.97,2458183.197,2408672.355,1348278.326
3764482.11,2662217.664,2582579.982,2581520.558,2599783.113,2490715.594,2430101.739,1344487.926
3728343.848,2657440.483,2586106.975,2576796.872,2584455.274,2448114.91,2431499.634,1335427.527
3735679.891,2661740.222,2579922.003,2595367.93,2587695.722,2480663.391,2410594.091,1347313.666
3775207.405,2662360.779,2580756.144,2570411.494,2586887.933,2454774.463,2451228.421,1342819.506
3765688.945,2692173.169,2580486.194,2566256.0,2611017.953,2448348.446,2401981.605,1346235.063
3717018.788,2661525.703,2582958.437,2564762.973,2589291.253,2450578.605,2421591.36,1339663.856
3731534.3,2693498.769,2579526.81,2594379.396,2607336.253,2465055.27,2407293.877,1337388.891
3731587.601,2659920.839,2581923.144,2570537.456,2586467.915,2448856.823,2433897.183,1339520.41
3788250.664,2686561.565,2599055.087,2599948.913,2589993.012,2477936.408,2407471.612,1339623.734
3708357.566,2656810.549,2584466.434,2569135.533,2590220.74,2482186.656,2406030.678,1357698.327
3802864.241,2694607.238,2577613.336,2587783.656,2587218.496,2454530.576,2455082.475,1343029.877
3733786.434,2665047.898,2592177.313,2587986.677,2581845.032,2449684.001,2421603.853,1338457.41
3777396.758,2748069.508,2577245.579,2561377.524,2613514.064,2488422.295,2417785.16,1350041.042
3725761.658,2672060.428,2579200.541,2563176.838,2588606.626,2479359.507,2410893.218,1338938.508
3735979.141,2691565.462,2582590.522,2561621.106,2593047.319,2448924.48,2442128.868,1356646.052
3760634.145,2677416.482,2582613.792,2570398.203,2620604.132,2477227.266,2413679.774,1333514.888
3783227.045,2672350.159,2598228.132,2567330.804,2616376.267,2450867.693,2430966.121,1338129.368
3734394.726,2666226.561,2581866.378,2599675.656,2592038.964,2447545.621,2411634.333,1361394.877
3733741.809,2663091.469,2584752.168,2566904.998,2580315.088,2446675.036,2402029.547,1337404.95
3774371.781,2733057.052,2586663.069,2578117.752,2587161.08,2484551.784,2403738.925,1338719.536
3732264.717,2669416.13,2581734.787,2558191.897,2593805.038,2462085.697,2411473.27,1337264.652
3780529.08,2710294.267,2577676.571,2602927.951,2585777.425,2452043.817,2416023.065,1359144.01
3772971.104,2667182.458,2577103.909,2602399.089,2600019.763,2475358.109,2436455.223,1341090.968
3725681.496,2731778.485,2581020.83,2569380.779,2618861.085,2444835.036,2428342.15,1337731.18
3735159.928,2724009.006,2578342.83,2597654.0,2655314.08,2497163.971,2423797.258,1345330.212
3725048.568,2725039.883,2580042.657,2568187.801,2588289.314,2480819.017,2415461.465,1338458.533
3738481.451,2685415.352,2586397.406,2576272.16,2607114.838,2450951.128,2406700.244,1359192.552
3760312.349,2676041.89,2604881.736,2573932.074,2586240.492,2482729.844,2408032.575,1338508.105
3738498.951,2648322.379,2586667.182,2564628.078,2614005.667,2449535.161,2413307.164,1338565.621
3788348.861,2683661.388,2605806.045,2569193.988,2585949.052,2452281.124,2427102.448,1354021.616
3730696.495,2663217.683,2580645.331,2575743.437,2580678.698,2503061.429,2406978.841,1341053.701
3777928.722,2689751.145,2576195.241,2592975.292,2590070.905,2480557.796,2399644.531,1336989.193
3733295.588,2660030.723,2611686.848,2563928.069,2622374.044,2450092.269,2411933.33,1339345.98
3757361.561,2700880.876,2582745.375,2600661.495,2610989.602,2480227.208,2436464.105,1356115.441
3732778.86,2669831.075,2579373.916,2573889.752,2586621.552,2460088.295,2408022.599,1336758.118
3780522.64,2717679.136,2588158.686,2562651.288,2626357.255,2488047.864,2436937.074,1346456.101
3724513.478,2666799.442,2587412.711,2587009.878,2586591.275,2452856.123,2409040.708,1342125.992
3761155.58,2692526.543,2624016.547,2566913.256,2618651.078,2451628.037,2406885.663,1339381.72
3728659.561,2656540.746,2581881.836,2568541.608,2585214.235,2455500.783,2411462.889,1354210.215
3787768.701,2685639.252,2588816.703,2592416.004,2581657.109,2486806.13,2437333.874,1340761.095
3729611.745,2667651.873,2578134.738,2589543.137,2587205.214,2454083.98,2411418.75,1344196.175
3725419.222,2692251.486,2580605.125,2562966.961,2582228.076,2481237.919,2442291.755,1342251.862
3762386.239,2665175.661,2581735.582,2603127.985,2583418.259,2469637.413,2415374.344,1360012.238
3732224.751,2684580.601,2601936.815,2570561.323,2618332.733,2460179.054,2424856.01,1358442.006
3733896.894,2663338.098,2578516.099,2598335.494,2594760.959,2478974.749,2413819.529,1336857.244
3735994.131,2659644.062,2619841.553,2564159.318,2585848.004,2456978.628,2409415.626,1337354.869
3728485.491,2686007.832,2587010.435,2572112.73,2608188.973,2451548.149,2426759.262,1349563.112
3778807.888,2660119.684,2601308.376,2568410.559,2581904.745,2478306.983,2406947.065,1346619.597
3740678.948,2656920.041,2632363.651,2569059.849,2608734.397,2452249.539,2430986.041,1349954.652
3730795.738,2692468.777,2604817.682,2572675.781,2593126.071,2450394.261,2408429.556,1342563.258
3730744.971,2659315.739,2579109.846,2572412.365,2586794.392,2475268.531,2414966.719,1362095.061
